corpus,alpha,n_topics,c_v,c_npmi,u_mass,diversity,silhouette
20newsgroups,0.0,12,0.672056527179841,-0.07096358035259583,-6.940865056852548,0.9916666666666667,0.43397146463394165
20newsgroups,0.25,12,0.5744938318508566,-0.06082971955064014,-6.036735962088728,0.95,0.44946083426475525
20newsgroups,0.5,12,0.7939331000242759,-0.008571483856649251,-3.6446525771764176,0.9666666666666667,0.5269944071769714
20newsgroups,0.75,12,0.6818124778732716,-0.09177071098206718,-7.756177308390225,0.9833333333333333,0.5986473560333252
20newsgroups,1.0,12,0.5953292356649026,-0.10013929921523844,-4.530910324464703,0.9916666666666667,0.5818120837211609
arxiv,0.0,12,0.673958867896881,0.060071570693353143,-2.9864081362604424,0.65,0.37172576785087585
arxiv,0.25,12,0.7216812122726673,0.1456091929924809,-1.239359184313637,0.6833333333333333,0.3877607583999634
arxiv,0.5,12,0.5714312526353033,0.010893383544103285,-2.002186285623328,0.6583333333333333,0.4461659789085388
arxiv,0.75,12,0.5534834027887562,-0.006476208337400477,-2.752287674075118,0.6083333333333333,0.5439909100532532
arxiv,1.0,12,0.4918845208632045,-0.03465070139365514,-2.9138309298776686,0.6083333333333333,0.5120336413383484
