corpus,model,n_topics,reducer,alpha,c_v,c_npmi,u_mass,silhouette,diversity
20newsgroups,LDA,8,none,1.0,0.5120919390067096,-0.10105008286916675,-5.033803543557808,,0.9125
20newsgroups,BERT,8,umap,0.0,0.576164705137951,-0.06895108748213519,-5.122592065360793,0.4308091998100281,1.0
20newsgroups,Hybrid-BERT-LDA,8,umap,0.5,0.5439607216742155,-0.09060537589639879,-6.189275687222389,0.5462260246276855,0.9875
20newsgroups,LDA,12,none,1.0,0.46160414204899297,-0.11632137266668756,-4.5676491230419645,,0.9166666666666666
20newsgroups,BERT,12,umap,0.0,0.7263398540902762,0.008503893630294586,-4.061752235540631,0.43819350004196167,0.9833333333333333
20newsgroups,Hybrid-BERT-LDA,12,umap,0.5,0.7939331000242759,-0.008571483856649251,-3.6446525771764176,0.5269944071769714,0.9666666666666667
arxiv,LDA,8,none,1.0,0.4408852424178107,-0.03954234173838317,-2.593156084244362,,0.825
arxiv,BERT,8,umap,0.0,0.5025273911069995,-0.007991089173113064,-2.529986737738611,0.4076344668865204,0.6
arxiv,Hybrid-BERT-LDA,8,umap,0.5,0.5655177529156744,-0.013355364819096528,-2.604189625733492,0.479513555765152,0.6125
arxiv,LDA,12,none,1.0,0.4428084812692756,-0.03587425549476062,-3.312235481013751,,0.7916666666666666
arxiv,BERT,12,umap,0.0,0.5454159128539695,0.012152639327814572,-2.7615596940218805,0.36576056480407715,0.6583333333333333
arxiv,Hybrid-BERT-LDA,12,umap,0.5,0.5714312526353033,0.010893383544103285,-2.002186285623328,0.4461659789085388,0.6583333333333333
