corpus,model,reducer,n_topics,silhouette
20newsgroups,LDA,pca,12,0.2908881902694702
20newsgroups,LDA,tsne,12,0.48564445972442627
20newsgroups,LDA,umap,12,0.5901983380317688
20newsgroups,BERT,pca,12,0.12635710835456848
20newsgroups,BERT,tsne,12,0.41260457038879395
20newsgroups,BERT,umap,12,0.43819350004196167
20newsgroups,Hybrid-BERT-LDA,pca,12,0.22114281356334686
20newsgroups,Hybrid-BERT-LDA,tsne,12,0.47988948225975037
20newsgroups,Hybrid-BERT-LDA,umap,12,0.5269944071769714
arxiv,LDA,pca,12,0.24443699419498444
arxiv,LDA,tsne,12,0.42564624547958374
arxiv,LDA,umap,12,0.5004205107688904
arxiv,BERT,pca,12,0.10072927176952362
arxiv,BERT,tsne,12,0.3644393980503082
arxiv,BERT,umap,12,0.36576056480407715
arxiv,Hybrid-BERT-LDA,pca,12,0.18212589621543884
arxiv,Hybrid-BERT-LDA,tsne,12,0.42211905121803284
arxiv,Hybrid-BERT-LDA,umap,12,0.4461659789085388
