year,topic,prevalence,label
2018,0,0.01723249744214914,"T0: distillation, gan, knowledge"
2018,1,0.028263546220458874,"T1: segmentation, map, network"
2018,2,0.1572723156086316,"T2: image, feature, network"
2018,3,0.012667103877519318,"T3: system, bias, forecasting"
2018,4,0.0703124397910678,"T4: algorithm, function, gradient"
2018,5,0.06662322954875172,"T5: video, task, language"
2018,6,0.09811047249087623,"T6: view, representation, pose"
2018,7,0.05038566160165876,"T7: bound, token, parameter"
2018,8,0.057798159972758424,"T8: classification, noise, learning"
2018,9,0.03746931616172476,"T9: game, event, kernel"
2018,10,0.08697868396809913,"T10: learning, attack, adversarial"
2018,11,0.06615492882969863,"T11: network, design, neural"
2018,12,0.03605849152862854,"T12: clustering, study, structure"
2018,13,0.03515344937898733,"T13: learning, problem, policy"
2018,14,0.13304047115563758,"T14: graph, learning, training"
2018,15,0.04647923781349642,"T15: language, llm, question"
2019,0,0.015945464276670908,"T0: distillation, gan, knowledge"
2019,1,0.03103593472514075,"T1: segmentation, map, network"
2019,2,0.1285355108635928,"T2: image, feature, network"
2019,3,0.019122769625863765,"T3: system, bias, forecasting"
2019,4,0.11026304922101239,"T4: algorithm, function, gradient"
2019,5,0.08966906317446784,"T5: video, task, language"
2019,6,0.09612815801803073,"T6: view, representation, pose"
2019,7,0.02007586726206166,"T7: bound, token, parameter"
2019,8,0.036298157252383896,"T8: classification, noise, learning"
2019,9,0.034798642218103505,"T9: game, event, kernel"
2019,10,0.09001755068154149,"T10: learning, attack, adversarial"
2019,11,0.05371235280904944,"T11: network, design, neural"
2019,12,0.026818281196127017,"T12: clustering, study, structure"
2019,13,0.06610963037678015,"T13: learning, problem, policy"
2019,14,0.14136177008166104,"T14: graph, learning, training"
2019,15,0.04010781482242778,"T15: language, llm, question"
2020,0,0.027327366316488844,"T0: distillation, gan, knowledge"
2020,1,0.024935690661981137,"T1: segmentation, map, network"
2020,2,0.11652247590705213,"T2: image, feature, network"
2020,3,0.019976415269698726,"T3: system, bias, forecasting"
2020,4,0.056537339970083464,"T4: algorithm, function, gradient"
2020,5,0.1372933919023796,"T5: video, task, language"
2020,6,0.0739054826308826,"T6: view, representation, pose"
2020,7,0.04940053421121679,"T7: bound, token, parameter"
2020,8,0.032198686412333415,"T8: classification, noise, learning"
2020,9,0.023462446635867787,"T9: game, event, kernel"
2020,10,0.04717750934344765,"T10: learning, attack, adversarial"
2020,11,0.08155022126447875,"T11: network, design, neural"
2020,12,0.03363522943101615,"T12: clustering, study, structure"
2020,13,0.03875920900425531,"T13: learning, problem, policy"
2020,14,0.1607860718320712,"T14: graph, learning, training"
2020,15,0.07653193894197773,"T15: language, llm, question"
2021,0,0.026708948603324668,"T0: distillation, gan, knowledge"
2021,1,0.04134904830740148,"T1: segmentation, map, network"
2021,2,0.15297886467148625,"T2: image, feature, network"
2021,3,0.01410310948582215,"T3: system, bias, forecasting"
2021,4,0.08705020770965446,"T4: algorithm, function, gradient"
2021,5,0.09213644703000633,"T5: video, task, language"
2021,6,0.10703647889926829,"T6: view, representation, pose"
2021,7,0.021043145574465696,"T7: bound, token, parameter"
2021,8,0.03736883620306774,"T8: classification, noise, learning"
2021,9,0.028975053394616052,"T9: game, event, kernel"
2021,10,0.056607683085383394,"T10: learning, attack, adversarial"
2021,11,0.08385031354201429,"T11: network, design, neural"
2021,12,0.030709970985913673,"T12: clustering, study, structure"
2021,13,0.06232607063941179,"T13: learning, problem, policy"
2021,14,0.1209478778166797,"T14: graph, learning, training"
2021,15,0.03680796327535063,"T15: language, llm, question"
2022,0,0.018575744879183873,"T0: distillation, gan, knowledge"
2022,1,0.023669609381422083,"T1: segmentation, map, network"
2022,2,0.11741249178425948,"T2: image, feature, network"
2022,3,0.004868981472100131,"T3: system, bias, forecasting"
2022,4,0.0634993571178424,"T4: algorithm, function, gradient"
2022,5,0.1445123186659705,"T5: video, task, language"
2022,6,0.07008245758142469,"T6: view, representation, pose"
2022,7,0.03654959147197109,"T7: bound, token, parameter"
2022,8,0.030760500282906975,"T8: classification, noise, learning"
2022,9,0.006104129321389145,"T9: game, event, kernel"
2022,10,0.06429498371864228,"T10: learning, attack, adversarial"
2022,11,0.08227100732619874,"T11: network, design, neural"
2022,12,0.037241620837640335,"T12: clustering, study, structure"
2022,13,0.08008147195122499,"T13: learning, problem, policy"
2022,14,0.183678740497654,"T14: graph, learning, training"
2022,15,0.036397004904421534,"T15: language, llm, question"
2023,0,0.017186618959435504,"T0: distillation, gan, knowledge"
2023,1,0.03814722781630922,"T1: segmentation, map, network"
2023,2,0.07910946265264886,"T2: image, feature, network"
2023,3,0.008054183567403688,"T3: system, bias, forecasting"
2023,4,0.03423626276693141,"T4: algorithm, function, gradient"
2023,5,0.17922308986802418,"T5: video, task, language"
2023,6,0.09655988680466704,"T6: view, representation, pose"
2023,7,0.030550470670178048,"T7: bound, token, parameter"
2023,8,0.07496956626849555,"T8: classification, noise, learning"
2023,9,0.020210494799619182,"T9: game, event, kernel"
2023,10,0.07639735173162915,"T10: learning, attack, adversarial"
2023,11,0.056324680100596984,"T11: network, design, neural"
2023,12,0.029293416770436634,"T12: clustering, study, structure"
2023,13,0.03941091487490355,"T13: learning, problem, policy"
2023,14,0.1552233847004859,"T14: graph, learning, training"
2023,15,0.06510299145186652,"T15: language, llm, question"
2024,0,0.020824936534872426,"T0: distillation, gan, knowledge"
2024,1,0.032261237875852534,"T1: segmentation, map, network"
2024,2,0.11600957062910311,"T2: image, feature, network"
2024,3,0.016653055976540168,"T3: system, bias, forecasting"
2024,4,0.05496633794437481,"T4: algorithm, function, gradient"
2024,5,0.19604855188854822,"T5: video, task, language"
2024,6,0.09553459270606063,"T6: view, representation, pose"
2024,7,0.017520459948986843,"T7: bound, token, parameter"
2024,8,0.049773496271595115,"T8: classification, noise, learning"
2024,9,0.010360465991604877,"T9: game, event, kernel"
2024,10,0.04151305640468644,"T10: learning, attack, adversarial"
2024,11,0.05099793977722967,"T11: network, design, neural"
2024,12,0.033810149272444266,"T12: clustering, study, structure"
2024,13,0.0551459865597089,"T13: learning, problem, policy"
2024,14,0.14183595952099973,"T14: graph, learning, training"
2024,15,0.06674421688474372,"T15: language, llm, question"
2025,0,0.013893637496124333,"T0: distillation, gan, knowledge"
2025,1,0.029460411060911913,"T1: segmentation, map, network"
2025,2,0.04322485762648284,"T2: image, feature, network"
2025,3,0.015446161729244826,"T3: system, bias, forecasting"
2025,4,0.06078819910840442,"T4: algorithm, function, gradient"
2025,5,0.15782904965337366,"T5: video, task, language"
2025,6,0.1298596974182874,"T6: view, representation, pose"
2025,7,0.02519973006720344,"T7: bound, token, parameter"
2025,8,0.03426766227542733,"T8: classification, noise, learning"
2025,9,0.018483994902732472,"T9: game, event, kernel"
2025,10,0.05608392503655826,"T10: learning, attack, adversarial"
2025,11,0.06293011355291431,"T11: network, design, neural"
2025,12,0.039387847482770064,"T12: clustering, study, structure"
2025,13,0.06929629707553735,"T13: learning, problem, policy"
2025,14,0.16585316418670118,"T14: graph, learning, training"
2025,15,0.0779952737238879,"T15: language, llm, question"
